CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
385,Male,67,34,33
386,Female,45,19,10
387,Male,45,51,69
388,Male,54,67,61
389,Male,58,113,92
390,Male,53,100,31
391,Male,44,122,92
392,Male,34,38,33
393,Female,26,95,70
394,Female,50,134,72
395,Male,37,73,59
396,Female,30,142,92
397,Female,45,128,72
398,Female,65,129,85
399,Female,46,28,22
400,Male,30,23,39
401,Female,63,54,31
402,Female,52,39,38
403,Male,23,117,98
404,Male,35,36,26
405,Female,68,18,46
406,Female,22,43,79
407,Female,64,123,74
408,Female,42,112,93
409,Female,19,51,71
410,Female,27,89,73
411,Male,47,84,78
412,Female,67,142,99
413,Female,62,99,40
414,Male,22,56,32
415,Male,50,114,65
416,Male,18,55,38
417,Male,35,48,35
418,Female,49,31,9
419,Female,64,136,98
420,Female,66,90,60
421,Female,28,101,91
422,Female,38,131,100
423,Female,43,120,71
424,Male,42,100,37
425,Female,39,41,37
426,Male,44,71,79
427,Male,66,45,57
428,Female,30,148,79
429,Male,50,112,66
430,Female,51,26,11
431,Male,58,67,49
432,Female,52,136,75
433,Male,18,60,33
434,Female,38,78,35
435,Female,65,144,81
436,Female,23,68,55
437,Female,45,121,62
438,Female,34,65,70
439,Male,22,50,71
440,Male,48,129,73
441,Male,22,40,40
442,Female,55,43,47
443,Male,20,25,12
444,Female,40,54,52
445,Female,54,25,12
446,Male,54,127,72
447,Male,27,53,54
448,Female,27,68,74
449,Male,36,112,78
450,Female,34,69,75
451,Female,38,125,95
452,Female,31,83,74
453,Female,26,70,37
454,Female,63,47,58
455,Male,18,50,61
456,Male,68,95,73
457,Female,62,123,77
458,Female,30,87,35
459,Male,21,54,47
460,Male,18,31,19
461,Female,66,143,81
462,Male,57,75,66
463,Female,49,118,91
464,Male,51,56,70
465,Female,45,39,3
466,Male,48,53,57
467,Female,25,49,39
468,Male,56,145,94
469,Male,43,122,88
470,Female,51,116,74
471,Male,20,112,92
472,Female,67,26,7
473,Male,29,33,12
474,Female,18,115,89
475,Male,61,58,50
476,Female,22,63,60
477,Male,47,31,24
478,Female,47,88,49
479,Male,34,71,66
480,Female,65,69,33
481,Female,64,61,57
482,Female,40,26,44
483,Male,32,76,49
484,Female,54,94,53
485,Male,38,97,79
486,Female,31,22,49
487,Male,19,95,61
488,Female,28,132,100
489,Male,68,39,36
490,Male,56,103,93
491,Female,55,26,36
492,Male,51,73,31
493,Male,55,123,74
494,Female,67,40,63
495,Male,51,61,65
496,Male,35,46,35
497,Male,47,24,39
498,Female,32,30,42
499,Male,44,40,41
500,Female,68,100,32
